id,priority,name_en,name_ko,ra_deg,dec_deg,mag,dist_ly,spect,size_arcmin,con,type
dso:M35,2,,M35,92.27108,24.33864,5.1,2886,,24,Gem,OCl (openCluster)
dso:M36,3,Pinwheel Cluster,M36,84.07392,34.14075,6,3906,,7.2,Aur,OCl (openCluster)
dso:M37,2,,M37,88.07646,32.553,5.6,4897,,11.4,Aur,OCl (openCluster)
dso:M38,3,Starfish Cluster,M38,82.17704,35.85492,6.4,3732,,9.6,Aur,OCl (openCluster)
dso:M41,2,,M41,101.49975,-20.75422,4.5,2398,,12,CMa,OCl (openCluster)
dso:M46,3,,M46,115.44508,-14.81,6.1,5431,,21,Pup,OCl (openCluster)
dso:M47,3,,M47,114.14592,-14.48261,4.4,1576,,19.8,Pup,OCl (openCluster)
dso:M67,3,,M67,132.83388,11.81194,6.9,2880,,33,Cnc,OCl (openCluster)
dso:M15,2,Pegasus Cluster,페가수스 성단,322.49325,12.16683,6.3,62483,,11.1,Peg,GCl (globularCluster)
dso:M2,3,,M2,323.36254,-0.82331,6.25,53294,,8.4,Aqr,GCl (globularCluster)
dso:M39,3,,M39,322.95133,48.43817,4.6,977,,19.5,Cyg,OCl (openCluster)
dso:M103,3,,M103,23.34088,60.658,7.4,8744,,4.5,Cas,OCl (openCluster)
dso:M4,2,,M4,245.8975,-26.52553,5.4,6530,,28.2,Sco,GCl (globularCluster)
dso:M10,3,,M10,254.28746,-4.09933,4.98,21643,,9.3,Oph,GCl (globularCluster)
dso:M12,3,,M12,251.8105,-1.94783,6.07,20591,,11.1,Oph,GCl (globularCluster)
dso:M29,3,,M29,305.99071,38.50767,6.6,5898,,3.6,Cyg,OCl (openCluster)
dso:M34,3,,M34,40.53083,42.74614,5.2,1670,,22.5,Per,OCl (openCluster)
dso:M52,3,,M52,351.20167,61.59317,6.9,5472,,9.9,Cas,OCl (openCluster)
dso:M78,3,,M78,86.69092,0.07931,8,,,4.5,Ori,RfN (nebula)
dso:NGC869,1,Double Cluster (h Persei),이중성단(h),34.744,57.11725,3.7,8274,,14.4,Per,OCl (openCluster)
dso:NGC884,2,Double Cluster (χ Persei),이중성단(χ),35.63375,57.14411,3.8,8203,,10.5,Per,OCl (openCluster)
dso:NGC7000,2,North America Nebula,북아메리카성운,314.82142,44.52878,,,,120x30,Cyg,HII (nebula)
dso:NGC457,1,Owl Cluster,ET성단,19.88604,58.29069,6.4,10257,,7.8,Cas,OCl (openCluster)
dso:NGC7009,2,Saturn Nebula,토성성운,316.04496,-11.36325,8,3764,,0.7x0.52,Aqr,PN (planetaryNebula)
